11.0.5.1,10036,49696,49696,1,0,0,48,0,0,8,-338,0.000000
11.0.6.1,10038,42900,44200,0,2,2700,0,31,2,8,359,0.000000
11.0.5.1,10036,50996,50996,1,0,0,48,0,0,8,-338,0.000000
11.0.6.1,10038,45500,49400,0,4,5400,0,74,4,8,359,0.000000
11.0.5.1,10036,52296,52296,1,0,0,48,0,0,8,-338,0.000000
11.0.6.1,10038,50700,52000,0,2,2700,0,43,2,8,359,0.000000
11.0.5.1,10036,53596,53596,1,0,0,48,0,0,8,-338,0.000000
11.0.6.1,10038,53300,53300,0,1,1350,0,23,1,8,359,0.000000
11.0.5.1,10036,54896,61396,6,0,0,288,0,0,8,-338,0.000009
11.0.6.1,10038,54600,65000,0,9,12150,0,36,9,8,359,0.000001
11.0.5.1,10036,62696,62696,1,0,0,48,0,0,8,-338,0.000000
11.0.6.1,10038,764,764,0,1,1350,0,9,1,8,359,0.000000
11.0.5.1,10036,63996,63996,1,0,0,48,0,0,8,-338,0.000000
11.0.6.1,10038,2064,2064,0,1,1350,0,10,1,8,359,0.000000
11.0.5.1,10036,65296,65296,1,0,0,48,0,0,8,-338,0.000000
11.0.6.1,10038,3364,3364,0,1,1350,0,11,1,8,359,0.000000
11.0.5.1,10036,1060,1060,1,0,0,48,0,0,8,-338,0.000000
11.0.6.1,10038,4664,4664,0,1,1350,0,12,1,8,359,0.000000
11.0.5.1,10036,2360,2360,1,0,0,48,0,0,8,-338,0.000000
11.0.6.1,10038,5964,5964,0,1,1350,0,13,1,8,359,0.000000
11.0.5.1,10036,3660,3660,1,0,0,48,0,0,8,-338,0.000000
11.0.6.1,10038,7264,7264,0,1,1350,0,14,1,8,359,0.000000
11.0.5.1,10036,4960,4960,1,0,0,48,0,0,8,-338,0.000000
11.0.6.1,10038,8564,8564,0,1,1350,0,15,1,8,359,0.000000
11.0.5.1,10036,6260,6260,1,0,0,48,0,0,8,-338,0.000000
11.0.6.1,10038,9864,9864,0,1,1350,0,16,1,8,359,0.000000
11.0.5.1,10036,7560,7560,1,0,0,48,0,0,8,-338,0.000000
11.0.6.1,10038,11164,11164,0,1,1350,0,17,1,8,359,0.000000
11.0.5.1,10036,8860,16960,8,0,0,384,0,0,8,-338,0.000009
11.0.5.1,10030,0,16660,0,768,1035800,0,8081,435,-66521,359,0.001898
11.0.5.1,10038,1300,16960,770,3,4050,36960,35,0,-67067,359,0.000728
11.0.1.1,10000,52744,11748,2,524,707400,96,6,0,368,0,0.000903
11.0.1.1,10000,51444,11748,523,0,0,25104,1497,0,0,0,0.000903
11.0.1.1,10000,13140,51444,4,585,789750,192,11,0,368,0,0.001999
11.0.1.1,10000,11840,50144,581,0,0,27888,1638,0,0,0,0.002002
11.0.1.1,10000,21612,56552,2,532,718200,96,6,0,368,0,0.000907
11.0.1.1,10000,22912,56552,529,0,0,25392,1485,0,0,0,0.000905
11.0.6.1,10002,0,16660,0,768,1035800,0,7877,435,0,486,0.008633
11.0.1.1,10000,52744,20312,2,581,784350,96,6,0,368,0,0.002000
11.0.1.1,10000,51444,21612,581,0,0,27888,1658,0,0,0,0.002001
11.0.6.1,10006,1300,16960,770,2,2700,36960,21,1,34,486,0.008632
11.0.1.1,10000,63816,22820,1,524,707400,48,4,0,368,0,0.000903
11.0.1.1,10000,63816,22820,523,0,0,25104,1502,0,0,0,0.000902
11.0.1.1,10000,22912,62516,582,0,0,27936,1640,0,0,0,0.001998
11.0.1.1,10000,21612,62516,4,587,792450,192,12,0,368,0,0.002001
11.0.1.1,10000,33984,59824,6,525,708750,288,21,0,368,0,0.000907
11.0.1.1,10000,33984,61124,520,0,0,24960,1511,0,0,0,0.000907
11.0.1.1,10000,63816,32684,581,0,0,27888,1668,0,0,0,0.002000
11.0.1.1,10000,63816,32684,1,582,785700,48,4,0,368,0,0.002001
11.0.1.1,10000,2852,32592,1,528,712800,48,4,0,368,0,0.000903
11.0.1.1,10000,1552,31292,527,0,0,25296,1524,0,0,0,0.000903
11.0.5.1,10046,35396,16960,38,0,0,1824,0,0,0,593,0.002994
11.0.1.1,10000,33984,1552,7,581,784350,336,26,0,368,0,0.001999
11.0.1.1,10000,33984,252,573,0,0,27504,1660,0,0,0,0.002002
11.0.5.1,10046,1300,34096,732,1,1350,35136,13,1,0,593,0.003373
11.0.1.1,10000,42456,2760,3,525,708750,144,9,0,368,0,0.000907
